,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2001,2002,2003
narcotics,,,57060,56234,55813,54454,46507,43543,43393,38606,35486,34144,28951,23823,10657
prostitution,6026,6408,6214,7476,6124,7034,6087,5141,3940,2485,2424,2203,1652,1625,1322,723
robbery,18441,18522,17332,15978,16047,15968,15450,16703,15979,14273,13982,13484,11819,9798,9640,9702
stalking,203,200,247,215,192,186,213,190,167,189,181,207,153,140,152,134
theft,99264,98327,98875,95463,85685,86238,85155,88430,80972,76750,75141,75453,71522,61523,57281,50905
assault,31383,31521,29477,28850,27066,25945,26314,25447,22861,21535,20411,19898,17971,16896,17041,16011
battery,93448,94152,88378,87134,83964,80665,79591,75921,68463,65401,60459,59132,54002,49443,48894,42936
kidnapping,933,829,705,481,389,339,330,359,293,313,266,236,242,220,193,181
motor vehicle theft,27549,25121,22748,22805,22497,21818,18573,18881,15482,19028,19387,16492,12581,9913,10079,928550567,51789,54288
